model,roc_auc_train,roc_auc_test,pr_auc_train,pr_auc_test,brier_train,brier_test,f1_train,f1_test,precision_train,precision_test,recall_train,recall_test
Logistic Regression,0.9547144345519984,0.9293216253443526,0.4432820791018764,0.3690549927757646,0.09178727414151322,0.09502171450456305,0.31465093411996065,0.2975206611570248,0.1902497027348395,0.18181818181818182,0.9090909090909091,0.8181818181818182
Random Forest,0.9920224216018874,0.9455406336088155,0.7656266366195004,0.4222377539508641,0.023993012251637576,0.03441825564507068,0.6743295019157088,0.4666666666666667,0.5086705202312138,0.3684210526315789,1.0,0.6363636363636364
GaussianNB,0.8937600096436997,0.8027376033057849,0.2464896463646601,0.16849529029429697,0.6631731178067832,0.6409680802944892,0.08425720620842572,0.07967313585291114,0.0440381148596446,0.04171122994652406,0.9715909090909091,0.8863636363636364
